g mag,r mag,g-r color
16.28831672668457,15.694989204406738,0.59332752227783203
17.185026168823242,16.89699935913086,0.28802680969238281
17.10226821899414,16.455812454223633,0.64645576477050781
17.01188850402832,16.61964988708496,0.39223861694335938
16.54378890991211,16.037179946899414,0.50660896301269531
15.331517219543457,14.512770652770996,0.81874656677246094
17.250646591186523,16.73065185546875,0.51999473571777344
16.720352172851562,16.00153160095215,0.71882057189941406
16.2666072845459,15.913464546203613,0.35314273834228516
16.1809024810791,15.536144256591797,0.64475822448730469
16.072790145874023,15.602588653564453,0.47020149230957031
14.540559768676758,13.900973320007324,0.63958644866943359
15.470873832702637,14.972753524780273,0.49812030792236328
16.572389602661133,15.833179473876953,0.73921012878417969
16.275249481201172,15.846343040466309,0.42890644073486328
16.791210174560547,16.157243728637695,0.63396644592285156
17.545730590820312,16.987077713012695,0.55865287780761719
16.494251251220703,15.967955589294434,0.52629566192626953
17.53266716003418,16.871641159057617,0.6610260009765625
15.343279838562012,14.650394439697266,0.69288539886474609
17.275785446166992,16.574539184570312,0.70124626159667969
16.411170959472656,16.0848445892334,0.32632637023925781
15.90147876739502,15.404653549194336,0.49682521820068359
15.617895126342773,15.077540397644043,0.54035472869873047
14.771535873413086,14.117093086242676,0.65444278717041016
15.973462104797363,15.393160820007324,0.58030128479003906
16.41910743713379,15.618515014648438,0.80059242248535156
16.909639358520508,16.3631649017334,0.54647445678710938
15.945026397705078,15.180376052856445,0.76465034484863281
16.73894691467285,16.169816970825195,0.56912994384765625
16.121944427490234,15.513833045959473,0.60811138153076172
16.023571014404297,15.612196922302246,0.41137409210205078
16.773635864257812,15.971145629882812,0.802490234375
15.858369827270508,15.014542579650879,0.84382724761962891
17.402355194091797,16.630125045776367,0.77223014831542969
16.85918617248535,16.453737258911133,0.40544891357421875
15.971749305725098,15.446229934692383,0.52551937103271484
15.573482513427734,14.848504066467285,0.72497844696044922
16.980342864990234,16.306171417236328,0.67417144775390625
15.827059745788574,14.979085922241211,0.84797382354736328
15.15157699584961,14.29385757446289,0.85771942138671875
15.732577323913574,15.017385482788086,0.71519184112548828
16.445899963378906,15.80561637878418,0.64028358459472656
17.120994567871094,16.44557762145996,0.67541694641113281
17.086505889892578,16.74967384338379,0.33683204650878906
16.872285842895508,16.073720932006836,0.79856491088867188
16.236379623413086,15.396687507629395,0.83969211578369141
16.610103607177734,15.813372611999512,0.79673099517822266
15.897921562194824,15.065643310546875,0.83227825164794922
16.283096313476562,15.5756254196167,0.70747089385986328
15.6223726272583,14.799247741699219,0.82312488555908203
16.669967651367188,15.942460060119629,0.72750759124755859
14.274824142456055,13.415571212768555,0.8592529296875
16.105072021484375,15.612744331359863,0.49232769012451172
17.05815887451172,16.32304573059082,0.73511314392089844
17.051645278930664,16.267070770263672,0.78457450866699219
15.941411972045898,15.105629920959473,0.83578205108642578
16.542097091674805,15.826473236083984,0.71562385559082031
16.781343460083008,16.27716064453125,0.50418281555175781
16.89206314086914,16.109560012817383,0.78250312805175781
16.502878189086914,15.79858112335205,0.70429706573486328
15.612922668457031,14.828532218933105,0.78439044952392578
16.90460777282715,16.578340530395508,0.32626724243164062
15.789093017578125,15.065979957580566,0.72311305999755859
15.687517166137695,15.260579109191895,0.42693805694580078
16.821958541870117,16.401752471923828,0.42020606994628906
15.778253555297852,15.134546279907227,0.643707275390625
15.839760780334473,15.058372497558594,0.78138828277587891
16.021760940551758,15.518176078796387,0.50358486175537109
16.28142547607422,15.62486743927002,0.65655803680419922
16.56386947631836,15.90420913696289,0.65966033935546875
15.261917114257812,14.403413772583008,0.85850334167480469
16.48197364807129,15.875847816467285,0.60612583160400391
15.050518989562988,14.279654502868652,0.77086448669433594
16.480228424072266,15.913558959960938,0.56666946411132812
15.600383758544922,14.763696670532227,0.83668708801269531
15.757482528686523,14.95224380493164,0.80523872375488281
17.1480712890625,16.411405563354492,0.73666572570800781
17.00899314880371,16.186355590820312,0.82263755798339844
16.036888122558594,15.371217727661133,0.66567039489746094
15.3960542678833,14.824053764343262,0.57200050354003906
17.143537521362305,16.317485809326172,0.82605171203613281
16.826242446899414,16.099506378173828,0.72673606872558594
16.368141174316406,15.514630317687988,0.85351085662841797
16.559844970703125,15.732804298400879,0.82704067230224609
17.25379753112793,16.684717178344727,0.56908035278320312
17.09893035888672,16.348215103149414,0.75071525573730469
16.88796615600586,16.198612213134766,0.68935394287109375
17.179950714111328,16.344890594482422,0.83506011962890625
17.415538787841797,16.632640838623047,0.78289794921875
16.55914878845215,15.983336448669434,0.57581233978271484
15.700933456420898,15.156325340270996,0.54460811614990234
16.622085571289062,16.071990966796875,0.5500946044921875
16.544925689697266,15.9459228515625,0.59900283813476562
17.29557228088379,16.51265525817871,0.78291702270507812
16.053674697875977,15.325885772705078,0.72778892517089844
16.468639373779297,16.085674285888672,0.382965087890625
17.620786666870117,16.91551971435547,0.70526695251464844
16.238492965698242,15.41592788696289,0.82256507873535156
16.086811065673828,15.338578224182129,0.74823284149169922
15.50882339477539,15.041059494018555,0.46776390075683594
15.172325134277344,14.558052062988281,0.6142730712890625
17.57408905029297,16.933977127075195,0.64011192321777344
16.03814125061035,15.284512519836426,0.75362873077392578
16.846717834472656,16.295822143554688,0.55089569091796875
17.32101821899414,16.831682205200195,0.48933601379394531
15.985618591308594,15.335138320922852,0.65048027038574219
15.441686630249023,14.709644317626953,0.73204231262207031
14.559660911560059,13.888118743896484,0.67154216766357422
15.995814323425293,15.218222618103027,0.77759170532226562
17.356754302978516,16.846935272216797,0.50981903076171875
